lga_code_2016,lga_name_2016,did_not_go_to_schoolool_indig_f,did_not_go_to_schoolool_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y10_equiv_indig_f,y10_equiv_indig_m,y10_equiv_non_indig_f,y10_equiv_non_indig_m,y10_equiv_indig_stat_notstated_f,y10_equiv_indig_stat_notstated_m,y12_equiv_indig_f,y12_equiv_indig_m,y12_equiv_non_indig_f,y12_equiv_non_indig_m,y12_equiv_indig_stat_notstated_f,y12_equiv_indig_stat_notstated_m
20830,Baw Baw,3,4,72,67,0,0,8,10,1140,1093,17,24,28,37,3356,4089,33,29,43,29,8434,6257,67,34
20910,Bayside,0,3,161,119,3,0,4,0,1122,683,15,4,5,7,3095,2382,41,23,36,50,27724,25331,143,119
21010,Benalla,0,0,10,15,0,0,3,3,444,377,6,4,16,9,1039,1113,7,9,23,18,2203,1716,23,16
21110,Boroondara,0,0,414,339,3,4,5,4,1862,1028,16,10,9,7,3336,2603,20,17,73,80,53350,49098,215,226
21180,Brimbank,3,0,2943,2132,40,32,21,25,8250,6393,93,82,64,59,7662,8378,82,90,93,85,40472,40727,308,327
21270,Buloke,0,0,5,8,0,0,3,6,194,250,4,3,0,3,413,504,9,9,4,4,877,649,7,6
21370,Campaspe,3,6,31,55,0,0,27,33,1044,1185,21,18,63,58,2804,3344,35,48,72,57,5203,3785,48,46
21450,Cardinia,0,0,145,120,4,4,16,12,1463,1477,27,19,35,59,5744,7086,51,55,104,63,17907,13757,92,76
21610,Casey,3,14,2148,1764,14,16,32,50,5932,4989,71,57,102,114,14443,16963,112,134,217,153,62248,56574,379,287
21670,Central Goldfields,0,0,16,20,0,0,8,9,488,527,17,14,11,13,1113,1242,16,23,21,12,1742,1366,26,20
21750,Colac-Otway,0,0,58,75,0,3,8,5,589,641,12,15,13,17,1385,1658,21,30,35,23,3419,2574,27,18
21830,Corangamite,0,0,14,17,0,0,3,8,438,556,12,10,6,10,1016,1287,19,17,16,14,2417,1723,22,18
21890,Darebin,4,7,1408,951,11,12,27,40,5433,3752,57,57,84,69,3845,4228,40,45,214,164,40044,36146,183,182
22110,East Gippsland,5,6,50,73,0,0,54,43,1147,1276,31,22,90,95,3541,3950,43,57,95,82,6928,5348,68,59
22170,Frankston,6,8,231,217,0,6,23,27,2404,1964,44,27,92,107,8518,9534,94,81,184,136,27198,22450,181,150
22250,Gannawarra,0,4,9,8,0,0,7,12,383,408,8,11,20,15,806,1042,13,7,13,8,1353,888,13,12
22830,Greater Shepparton,7,7,364,387,3,7,63,84,1761,1813,41,33,152,147,3975,4391,49,36,192,125,9873,7924,83,49
22910,Hepburn,0,0,13,11,0,0,3,6,338,347,8,10,4,9,937,1098,9,11,19,11,3055,2429,30,22
22980,Hindmarsh,0,0,21,30,0,0,0,3,253,273,6,4,9,3,401,496,4,15,11,3,781,573,8,4
23110,Hobsons Bay,0,0,612,415,6,0,10,10,2676,1940,34,24,34,31,3628,4168,30,34,74,67,21024,19225,107,113
23190,Horsham,0,0,20,17,0,0,6,8,531,530,13,10,18,12,1265,1377,14,10,18,15,3226,2534,20,17
23270,Hume,0,5,2235,1436,31,24,46,44,6007,5152,68,58,115,95,8763,10227,73,88,159,146,38905,36145,246,232
23350,Indigo,0,0,20,9,0,0,4,5,273,335,8,5,22,7,1148,1400,13,20,28,17,2943,2173,35,23
23430,Kingston (Vic.),3,3,745,546,6,8,8,9,3522,2485,52,34,31,38,6551,6796,54,46,111,87,37717,34238,188,167
23670,Knox,4,4,506,380,3,3,12,11,2765,2047,38,28,50,74,7981,8730,44,71,88,79,36552,32408,166,168
23810,Latrobe (Vic.),5,7,158,137,4,3,39,44,2133,1829,34,21,92,75,5224,5855,59,55,84,82,11388,9223,69,64
23940,Loddon,0,0,7,9,0,0,8,14,240,323,9,6,10,7,490,704,13,16,6,5,947,729,6,13
24130,Macedon Ranges,0,0,40,41,5,0,4,7,621,693,6,9,16,28,2299,2791,13,24,37,35,9912,8098,73,57
24210,Manningham,0,0,698,455,4,5,6,0,3036,2086,30,23,15,21,4285,3771,38,30,30,33,31483,29700,167,134
24250,Mansfield,0,0,8,4,0,0,3,0,159,199,4,3,3,4,490,675,8,5,16,8,1564,1200,13,4
24330,Maribyrnong,0,3,793,565,8,6,3,12,2117,1470,22,21,29,22,2086,2417,19,22,86,88,22513,22621,106,89
24410,Maroondah,0,0,402,329,3,7,7,11,2014,1500,28,13,41,48,5524,5771,46,45,85,71,26363,22720,121,77
24600,Melbourne,7,3,470,299,4,3,3,8,874,609,13,4,16,23,1665,1763,15,20,129,130,50354,46641,199,199
24650,Melton,0,3,651,473,8,5,28,32,2620,2225,36,22,98,78,6449,7513,57,50,147,97,27341,23596,153,134
24780,Mildura,4,3,215,245,0,3,63,59,1669,1642,31,27,191,151,3774,4297,49,56,157,105,7860,6225,72,51
24850,Mitchell,0,0,42,62,0,0,14,13,801,821,15,4,35,47,2601,3190,26,47,69,61,6764,5425,61,54
24900,Moira,0,0,53,57,0,0,21,18,829,1032,17,23,38,44,2342,2641,24,33,44,31,4105,2899,37,23
24970,Monash,0,5,1065,694,5,10,14,9,4180,2881,61,40,22,22,5523,5189,39,39,80,77,52374,50846,195,195
17150,Sutherland Shire,3,8,323,271,3,3,20,33,2361,1784,27,14,212,238,20673,19704,136,113,388,366,50346,46357,221,198
17200,Sydney,7,10,750,579,8,10,56,57,1524,1321,12,17,182,190,4554,5498,30,37,411,465,68873,72216,294,304
17310,Tamworth Regional,12,15,71,80,0,6,143,185,1030,1198,22,20,621,603,6516,6400,69,84,496,315,8696,7083,67,50
17350,Temora,0,3,8,4,0,0,3,4,170,161,0,3,18,10,833,849,7,5,13,13,748,590,8,4
17100,Strathfield,0,0,282,195,0,0,0,8,638,455,4,0,8,12,1339,1235,13,3,29,25,11869,12401,46,43
17400,Tenterfield,0,0,5,9,0,0,13,18,134,206,4,5,29,38,814,792,10,11,33,16,858,719,14,6
22410,Glenelg,3,0,19,19,0,0,15,13,565,712,4,14,32,32,1488,1737,16,20,41,24,2750,2028,30,21
